Local authorities code,Local authorities,Region,Hours worked  Does not apply,Hours worked Parttime 15 hrs or less,Hours worked Parttime 16 to 30 hrs,Hours worked Fulltime 31 to 48 hrs,Hours worked Fulltime 49 or more hrs,Distance travelled Does not apply,Distance travelled Less than 2km,Distance travelled 2km to less than 5km,Distance travelled 5km to less than 10km,Distance travelled 10km to less than 20km,Distance travelled 20km to less than 30km,Distance travelled 30km to less than 40km,Distance travelled 40km to less than 60km,Distance travelled 60km and over,Distance travelled Works mainly from home,Distance travelled Works in no fixed place,Method of travel Work from home,Method of travel Light rail,Method of travel Train,Method of travel Bus,Method of travel Taxi,Method of travel Motorcycle,Method of travel Driving,Method of travel Passenger in a car,Method of travel Bicycle,Method of travel On foot,Method of travel Other ,Method of travel Not in employment,Working from home number,Working from home percent
E06000025,South Gloucestershire,South West,142812,14192,29592,90398,13430,142812,14084,15483,22949,15231,2614,1205,1273,1464,52349,20958,52349,40,438,4442,276,968,71696,4890,3060,8371,1080,142812,52349,35.5
E07000044,South Hams,South West,48043,5884,9444,20077,5180,48043,3936,2710,3802,5273,2097,1011,516,635,13451,7153,13451,28,137,491,59,299,20416,1183,412,3601,510,48043,13451,33.1
E07000140,South Holland,East Midlands,49888,3790,7951,26644,6849,49888,5767,6530,3940,7114,4003,1255,691,1003,7959,6972,7959,25,138,286,116,198,28900,2723,1484,2997,410,49888,7959,17.6
E07000141,South Kesteven,East Midlands,75210,6832,12955,39658,8748,75210,9925,5534,3580,8680,4921,2751,2018,1622,19428,9733,19428,32,416,567,216,258,36422,2605,1259,6419,572,75210,19428,28.5
E07000031,South Lakeland,North West,54313,6634,10803,26675,6025,54313,7928,3973,3835,6965,2847,1361,729,1012,13692,7795,13692,18,291,462,173,179,25555,1772,963,6460,574,54313,13692,27.3
E07000149,South Norfolk,East of England,74199,7628,14089,37418,8614,74199,4999,4759,8486,9656,4064,2013,1081,1020,21339,10331,21339,32,223,1037,108,329,37209,2046,1322,3404,699,74199,21339,31.5
E07000179,South Oxfordshire,South East,72609,8124,13391,45106,9855,72609,6909,4417,6642,8572,3974,1377,1104,1065,32709,9707,32709,73,897,1168,81,289,31562,2097,1637,5393,568,72609,32709,42.8
E07000126,South Ribble,North West,56324,4603,10088,34628,5392,56324,5530,8161,8779,4762,2213,1139,571,439,15731,7386,15731,15,305,1087,200,210,30627,2245,971,2904,416,56324,15731,28.8
E07000189,South Somerset,South West,91740,8630,16839,45912,9548,91740,12812,7642,7582,10663,4867,1884,1475,1441,20337,12228,20337,38,145,379,143,448,45716,3288,1341,8412,684,91740,20337,25.1
E07000196,South Staffordshire,West Midlands,59773,5183,9920,29642,5954,59773,3067,4091,8380,7734,3064,1069,722,609,14069,7894,14069,54,504,622,171,170,30339,1881,364,2088,437,59773,14069,27.8
E08000023,South Tyneside,North East,85268,5108,13427,38273,5700,85268,7053,10322,11382,6771,1082,227,504,919,14779,9466,14779,2230,585,3360,299,212,31575,2883,1123,4273,1189,85268,14779,23.6
E06000045,Southampton,South East,130694,12460,23005,71148,11615,130694,18254,21608,14393,6150,2259,1511,1193,1857,30282,20720,30282,84,1430,7835,861,787,51655,5945,3605,14255,1493,130694,30282,25.6
E06000033,Southend-on-Sea,East of England,97427,9518,16235,48451,9055,97427,12254,11712,6508,3882,2400,1220,3401,1084,27823,12975,27823,242,4523,2601,390,378,33110,2865,1766,8570,991,97427,27823,33.4
E09000028,Southwark,London,140689,16582,25386,99680,25300,140689,13354,23403,21496,7014,1171,614,524,1163,80842,17367,80842,14000,7054,23288,791,1132,14701,882,9537,12998,1723,140689,80842,48.4
E07000213,Spelthorne,South East,51417,4992,8722,32083,5742,51417,3674,6305,7864,4518,1942,408,221,310,18497,7799,18497,470,1477,1826,144,416,23540,1335,971,2323,543,51417,18497,35.9
E07000240,St Albans,East of England,75296,8037,12552,40974,11308,75296,5835,5168,5784,4886,2777,1984,477,376,38594,6990,38594,243,2464,732,221,189,23272,1478,764,4371,543,75296,38594,53.0
E08000013,St. Helens,North West,100625,6605,15741,52995,7282,100625,8428,13414,12468,11439,3079,1496,378,779,18973,12169,18973,29,951,2931,914,289,47168,4802,966,4823,776,100625,18973,23.0
E07000197,Stafford,West Midlands,71101,6261,12044,39195,8266,71101,7362,7505,6185,8055,4863,1594,1002,1048,19775,8375,19775,26,478,678,252,264,35046,2612,1300,4851,484,71101,19775,30.1
E07000198,Staffordshire Moorlands,West Midlands,50810,4598,8957,25615,5865,50810,4784,2795,6396,8863,2082,987,845,558,10949,6774,10949,13,97,410,131,151,27416,1995,315,3141,415,50810,10949,24.3
E07000243,Stevenage,East of England,44035,4066,8221,29016,4154,44035,5542,7476,2617,4278,1991,1388,1312,307,12876,7673,12876,105,1421,1219,365,199,22141,2220,894,3594,426,44035,12876,28.3
E08000007,Stockport,North West,154967,13170,27032,86908,12697,154967,13182,19955,20186,14211,1993,815,1071,1112,50157,17124,50157,289,2142,5417,745,366,64214,4588,2303,8377,1210,154967,50157,35.9
E06000004,Stockton-on-Tees,North East,110152,7625,18060,52004,8754,110152,9414,14069,16003,9943,2085,1097,1208,1561,18809,12254,18809,45,526,2256,1319,195,50924,4392,1260,5439,1278,110152,18809,21.8
E06000021,Stoke-on-Trent,West Midlands,145789,9224,22985,70790,9581,145789,15678,25099,21545,8558,3706,961,1502,1581,17161,16789,17161,33,452,3679,3933,561,65636,8760,1620,9618,1127,145789,17161,15.2
E07000221,Stratford-on-Avon,West Midlands,68489,7823,12446,36968,8999,68489,6062,3015,5159,9174,4249,2028,1116,918,26151,8364,26151,34,251,371,98,200,31378,1932,809,4521,491,68489,26151,39.5
E07000082,Stroud,South West,61185,7237,12590,33708,6384,61185,5664,5364,6725,6970,2817,1388,666,686,20942,8694,20942,25,176,664,66,290,30820,1960,860,3657,459,61185,20942,35.0
